clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
santos,2004,23,23,56,33,2.4348,1.4348,1.0000,0.6292,0.7826,0.0870,0.1304,1.7826,2.7826,1.0000
santos,2005,21,21,34,25,1.6190,1.1905,0.4286,0.5763,0.4286,0.3333,0.2381,0.3333,1.4762,1.1429
santos,2006,19,19,47,17,2.4737,0.8947,1.5789,0.7344,0.7895,0.1053,0.1053,1.2105,1.8421,0.6316
santos,2007,19,19,37,25,1.9474,1.3158,0.6316,0.5968,0.5789,0.2105,0.2105,0.8947,1.8947,1.0000
santos,2008,19,19,33,12,1.7368,0.6316,1.1053,0.7333,0.4737,0.3158,0.2105,0.6842,1.7895,1.1053
santos,2009,19,19,30,19,1.5789,1.0000,0.5789,0.6122,0.4211,0.3158,0.2632,0.4211,1.8421,1.4211
santos,2010,19,19,35,21,1.8421,1.1053,0.7368,0.6250,0.5263,0.2632,0.2105,0.8421,1.6842,0.8421
santos,2011,19,19,35,18,1.8421,0.9474,0.8947,0.6604,0.5263,0.2632,0.2105,0.5789,1.6316,1.0526
santos,2012,19,19,33,20,1.7368,1.0526,0.6842,0.6226,0.4211,0.4737,0.1053,0.5263,1.6842,1.1579
santos,2013,19,19,37,20,1.9474,1.0526,0.8947,0.6491,0.5263,0.3684,0.1053,0.7895,1.4737,0.6842
santos,2014,19,19,33,20,1.7368,1.0526,0.6842,0.6226,0.5263,0.1579,0.3158,0.6842,1.3158,0.6316
santos,2015,19,19,48,10,2.5263,0.5263,2.0000,0.8276,0.7895,0.1579,0.0526,1.6842,2.4737,0.7895
santos,2016,19,19,47,24,2.4737,1.2632,1.2105,0.6620,0.7895,0.1053,0.1053,1.3158,1.8947,0.5789
santos,2017,19,19,40,23,2.1053,1.2105,0.8947,0.6349,0.6316,0.2105,0.1579,0.6842,1.3158,0.6316
santos,2018,19,19,33,17,1.7368,0.8947,0.8421,0.6600,0.4737,0.3158,0.2105,0.7368,1.4737,0.7368
santos,2019,19,19,46,28,2.4211,1.4737,0.9474,0.6216,0.7368,0.2105,0.0526,1.5263,2.3158,0.7895
santos,2020,19,19,34,20,1.7895,1.0526,0.7368,0.6296,0.4737,0.3684,0.1579,0.6316,1.8421,1.2105
santos,2021,19,19,33,17,1.7368,0.8947,0.8421,0.6600,0.4737,0.3158,0.2105,0.3684,1.1053,0.7368
santos,2022,19,19,29,18,1.5263,0.9474,0.5789,0.6170,0.4211,0.2632,0.3158,0.4737,1.4737,1.0000
santos,2023,19,19,25,18,1.3158,0.9474,0.3684,0.5814,0.3158,0.3684,0.3158,-0.1053,1.3684,1.4737
